material,rmse,mae,r2,phonon_rmse,phonon_mae,phonon_scaled_rmse,phonon_rrmse,rmsd,maxd,spacegroup,benchmark_spacegroup,min_frequency,benchmark_min_frequency,max_frequency,benchmark_max_frequency,mean_frequency,benchmark_mean_frequency,volume,benchmark_volume,heat_capacity,benchmark_heat_capacity,entropy,benchmark_entropy,free_energy,benchmark_free_energy,k_diff_high_temp_limit,benchmark_k_diff_high_temp_limit
mp-30795,0.2225804210215078,0.2148983262896869,0.9696411116161244,0.2208819727399021,0.2144846803924068,0.0905975070144777,0.0314941594932134,0.0156738975037494,0.0232078417846296,C222_1 (20),C222_1 (20),-4.6445000468196486e-05,-0.0492456408839921,4.681122931708682,5.023534107919805,2.537653735544616,2.5792100515717387,739.9196060443956,751.6055006524126,589.6609605911648,588.2638885211348,1296.871793385396,1229.2495139834907,-206.7455953548385,-186.0316067198005,0.2234630878353584,0.2259392457624602
mp-31053,0.1159682747729755,0.090437077132263,0.9985586273819428,0.1070350325690387,0.0873497942252173,0.0753694094541172,0.0147025503786941,0.0120199502180134,0.020788300325748,P2_1/m (11),P2_1 (4),-0.0014659711800348,-0.1204336057299798,9.096342855199572,9.200250614310884,4.112935036054665,4.135914677993713,147.07055335208418,150.24191292294938,142.10964127489586,141.85784398533562,265.9246160222803,264.3160585921595,-32.49991552781916,-31.95054839531993,0.3909533053174934,0.3903517681402677
mp-34202,0.1793476470154024,0.1392627216133898,0.9687861281398322,0.1764406450899679,0.1336533631773207,0.1450884194891187,0.0590094184443459,0.0028280262590998,0.0038592225254948,R-3m (166),R-3m (166),-6.579874136745999e-05,-0.2463329482039974,4.108408237616902,4.198478019825028,2.201213760864869,2.282436376064381,181.87901999273285,182.72490357718925,123.28699793329017,123.02132075051306,271.1111597298192,263.7653735552888,-43.48615540726066,-41.26573395889344,0.1834379620353805,0.1899126815084024
mp-35216,1.1196990232238662,0.7363992935833874,0.4432244069485113,1.0759799294479713,0.6950708744181686,1.1215608047523928,0.6080874280320558,,,C2/m (12),R3m (160),-0.009107805951570232,-2.2253212111130316,3.369364735516281,3.544637552998168,1.9573877881259616,1.8092684406345374,138.6830945143504,134.04043394216927,98.93619995453696,78.45224135698872,229.61761798067442,187.6342059407139,-38.70069220724362,-32.3714445931823,0.16575000940878276,0.15495618939718014
mp-3534,0.2471604506774432,0.2102698137483034,0.9600303630925168,0.229977846340952,0.2007658842137289,0.1609991916876114,0.0539193349907951,0.0070639337713034,0.0103367569480291,P-3m1 (164),P-3m1 (164),-7.909029156391241e-05,-0.4703252575821267,5.25177969295005,5.419399187208045,2.6297869239798137,2.747379060056216,285.9579127971643,283.69448908694443,220.83220984841668,220.04934464603733,452.53367803654766,434.2223865344096,-67.30324848198131,-61.72148276509763,0.2292619014192928,0.240148743416258
mp-541837,0.3362743806463835,0.2956836230552714,0.9409729151222612,0.3245082053315881,0.2987840638374238,0.2726056959220195,0.087028862585654,0.0219600753952611,0.0304979515846145,R-3m (166),R-3m (166),-0.1124688354105895,-0.2076350909825311,5.176401201478567,5.290806761523285,2.624030981159424,2.8664994792381178,154.3961450121585,159.0686884081807,122.55275479623695,122.08302273523056,254.36846645950035,238.45866139105487,-38.2636059299814,-33.36709603807186,0.2309464762794069,0.24979179374251
mp-542374,0.296498667634997,0.2803524302692574,0.929644467822992,0.2963541169997196,0.2811558154190437,0.2213213465306485,0.079843297231829,0.0018279196849969,0.0021926697899392,I4_1/acd (142),I4_1/acd (142),-4.841733408075941e-05,-0.0074215992432853,5.126879109305159,5.295535524374955,2.330653573507281,2.537635574903116,1252.2894006241736,1255.1274729514887,787.766825461904,785.3189908332582,1719.4174978569108,1616.4673068248817,-273.21204711659345,-241.5805577662672,0.1895500984710238,0.2062280963545606
mp-568936,0.1875166852301252,0.1614079242143142,0.9807487763104143,0.1857089088106178,0.1591927273184471,0.075137130513448,0.0254860637560004,0.0094539170775815,0.0133432848865306,P2_12_12_1 (19),P2_12_12_1 (19),-3.591116351341102e-05,-0.0095669140816369,4.850238786767607,5.08048984202811,2.588193225059824,2.621239224134364,248.61310803627703,246.4255516551115,294.500485165204,293.8806888672681,626.2019722381049,611.5958528265804,-96.60113739261884,-92.0288381967336,0.2602038002731022,0.2643035678154539
mp-570753,0.0654162120293022,0.0484409051657065,0.9950873574846656,0.0619010348647135,0.0470087830259768,0.0740060850708392,0.0392024248342174,0.0942194374744679,0.1763185941617998,P4_1 (76),P4_1 (76),-3.440962807266676e-05,-0.1515616313556243,3.867790757438572,4.100649259270811,1.6947034507024927,1.643666169670263,1290.4538284350228,1273.363481797658,891.5343209672828,890.4376629240245,2290.0570327918,2260.9314909645027,-415.688040335744,-407.0790485370792,0.1419204311709964,0.1382594583704486
mp-603640,1.4554454932714085,1.1599887076031052,0.4502727043557624,1.4621884097898967,1.215073495437524,0.8412937790860543,0.2393228234635101,0.0051630945916464,0.0051630945916464,I-4m2 (119),Imm2 (44),-2.478144611754404,-2.295600358841277,3.121879298873603,5.862371893634644,3.840653438626789,3.289505029371984,38.88856414124661,38.71206194064939,47.37098271623916,45.87204067883175,104.37461287322118,84.18025265039822,-16.818059423747656,-10.7259431659593,0.3943716440166922,0.3382903816539898
